ID_Cliente,Regiao,Canal_Venda,Porte_Cliente,Segmento,Tempo_Relacionamento_meses,Recencia_dias,Frequencia_pedidos_ano,Ticket_Medio_R$,N_Categorias_Compradas,Faturamento_Anual_R$,Desconto_Medio_%,Satisfacao_NPS_1a10,Chamados_Suporte_ano,Atraso_Medio_Pagamento_dias,Comprou_Cutelaria,Comprou_Panelas,Comprou_Utilidades_Cozinha,Comprou_Ferramentas,Comprou_Eletroportateis,Comprou_Moveis,Comprou_Talheres,Comprou_Jardinagem,Churn,Desconto_Medio_%_ausente,Satisfacao_NPS_1a10_ausente,Faturamento_Anual_R$_original,Porte_Cliente_ord,Churn_bin,Regiao_Centro-Oeste,Regiao_Nordeste,Regiao_Norte,Regiao_Sudeste,Regiao_Sul,Canal_Venda_Atacado,Canal_Venda_Distribuidor,Canal_Venda_E-commerce,Canal_Venda_Marketplace,Canal_Venda_Varejo Físico,Segmento_Corporativo,Segmento_Doméstico,Segmento_Profissional/Food Service,Faturamento_por_Pedido,Total_Categorias_Compradas,Cliente_Insatisfeito,Tempo_Relacionamento_meses_z,Recencia_dias_z,Frequencia_pedidos_ano_z,Ticket_Medio_R$_z,N_Categorias_Compradas_z,Faturamento_Anual_R$_z,Desconto_Medio_%_z,Satisfacao_NPS_1a10_z,Chamados_Suporte_ano_z,Atraso_Medio_Pagamento_dias_z,Porte_Cliente_ord_z,Faturamento_por_Pedido_z,Total_Categorias_Compradas_z
TRM1014,Sudeste,Distribuidor,Pequeno,Doméstico,42,101,7,186.34,4,12718.87,12.3,8.2,4,14,0,1,1,0,1,0,1,0,Não,0,0,12718.87,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1816.9814285714288,4,0,0.3066563512521513,0.6960885394181624,-0.572923548978347,-0.7404520697737031,-0.252049346344191,0.7193577374172264,0.8304169099388358,0.6040662609509416,0.18235023403570624,1.3513143629268063,-0.8682431421244592,4.018305088246715,-0.252049346344191
TRM1015,Sul,E-commerce,Pequeno,Doméstico,31,83,7,124.55,3,710.19,7.3,4.2,4,4,1,0,1,0,1,0,0,0,Não,0,0,710.19,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,101.4557142857143,3,1,-0.24321020961377499,0.28713870707106226,-0.572923548978347,-0.9217514622713636,-0.9418686100230305,-0.8465366914246889,-0.35108903612714504,-2.3789770030043296,0.18235023403570624,-0.28511663083644306,-0.8682431421244592,-1.1192435751535474,-0.9418686100230305
TRM1016,Sudeste,E-commerce,Médio,Doméstico,22,13,14,563.68,6,12237.93,7.6,8.6,6,0,1,1,1,0,1,1,1,0,Não,0,0,12237.93,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,874.1378571428571,6,0,-0.6931010321404419,-1.3032217520565492,0.1655473144356696,0.36670948978394746,1.1275891810134877,0.6566446609919048,-0.28019867936318626,0.902370587346469,1.140149443112143,-0.9396890283417427,0.4754664825919659,1.1947363770046207,1.1275891810134877
TRM1017,Sul,E-commerce,Pequeno,Doméstico,47,85,4,133.38,3,624.62,1.2,10.0,2,0,1,0,1,0,0,1,0,0,Não,0,0,624.62,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,156.155,3,0,0.5565956971002997,0.33257757733185117,-0.8894110618700684,-0.8958431658519699,-0.9418686100230305,-0.8576947526167602,-1.7925262903276413,1.9464357297308144,-0.7754489750407306,-0.9396890283417427,-0.8682431421244592,-0.9554335897535997,-0.9418686100230305
TRM1018,Nordeste,Marketplace,Pequeno,Profissional/Food Service,55,83,5,238.59,4,1340.6,7.4,7.9,5,6,1,0,1,0,0,0,1,1,Não,0,0,1340.6,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,268.12,4,0,0.956498650457337,0.28713870707106226,-0.7839152242394946,-0.5871442002478451,-0.252049346344191,-0.7643331930479954,-0.3274589172058253,0.38033801615429697,0.6612498385739246,0.0421695679162068,-0.8682431421244592,-0.6201278398557533,-0.252049346344191
TRM1019,Sudeste,Marketplace,Médio,Profissional/Food Service,34,24,12,554.48,4,9062.05,10.5,6.1,5,9,0,1,1,0,1,0,1,0,Não,0,0,9062.05,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,755.1708333333332,4,0,-0.093246602104886,-1.0533079656222104,-0.04544436082547797,0.33971556825977745,-0.252049346344191,0.24251981141056328,0.4050747693550826,-0.9620314526255758,0.6612498385739246,0.5330988660451816,0.4754664825919659,0.8384614059728931,-0.252049346344191
TRM1020,Nordeste,Varejo Físico,Grande,Profissional/Food Service,17,13,34,1234.63,2,22650.383749999997,7.7,7.9,2,0,1,0,0,0,0,1,0,0,Não,0,0,43259.32,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,666.187757352941,2,0,-0.9430403779885903,-1.3032217520565492,2.2754640670471455,2.3353585818102527,-1.6316878737018699,2.014396163879741,-0.25656856044186654,0.38033801615429697,-0.7754489750407306,-0.9396890283417427,1.819176107308391,0.5719804787204261,-1.6316878737018699
TRM1021,Sudeste,Varejo Físico,Médio,Doméstico,43,98,22,382.61,8,12079.45,10.0,5.7,8,2,1,1,1,1,1,1,1,1,Sim,0,0,12079.45,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,549.0659090909091,8,1,0.35664422042178096,0.627930234026979,1.00951401548026,-0.16457196351838926,2.5072277083711665,0.6359793631337832,0.28692417474848453,-1.2603357790211025,2.0979486521885797,-0.6124028295890929,0.4754664825919659,0.22123132352976474,2.5072277083711665
TRM1022,Centro-Oeste,Varejo Físico,Médio,Corporativo,41,107,13,692.54,4,10209.57,8.4,8.5,3,18,0,0,0,1,0,1,1,1,Não,0,0,10209.57,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,785.3515384615384,4,0,0.25666848208252163,0.8324051502005291,0.06005147680509582,0.7448004384366185,-0.252049346344191,0.3921528414342358,-0.0911577279926292,0.8277945057475875,-0.2965493705025122,2.005886760432106,0.4754664825919659,0.9288446861538302,-0.252049346344191
TRM1023,Norte,Varejo Físico,Grande,Profissional/Food Service,28,34,23,920.68,6,22650.383749999997,10.4,6.5,4,3,1,1,1,0,1,1,1,0,Não,0,0,31166.46,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,984.7992934782608,6,0,-0.39317381712266397,-0.8261136143182658,1.1150098531108337,1.4141910097979435,1.1275891810134877,2.014396163879741,0.381444650433763,-0.6637271262300484,0.18235023403570624,-0.448759730212768,1.819176107308391,1.5261382963116839,1.1275891810134877
TRM1024,Nordeste,Distribuidor,Pequeno,Doméstico,107,33,4,177.87,5,6477.2,11.4,7.7,6,17,1,1,0,1,0,0,1,1,Não,0,0,6477.2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1619.3,5,0,3.5558678472780794,-0.8488330494486603,-0.8894110618700684,-0.7653040823073685,0.4377699173346484,-0.09453656900693669,0.6177458396469592,0.23118585295653327,1.140149443112143,1.842243661055781,-0.8682431421244592,3.4263011615908803,0.4377699173346484
TRM1025,Sul,E-commerce,Pequeno,Doméstico,70,64,5,161.73,4,965.62,0.0,6.2,2,10,1,1,1,0,0,0,1,0,Não,0,0,965.62,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,193.124,4,0,1.706316688001782,-0.14453056040643233,-0.7839152242394946,-0.8126608098508584,-0.252049346344191,-0.813229415857425,-2.076087717383477,-0.8874553710266936,-0.7754489750407306,0.6967419654215066,-0.8682431421244592,-0.844721150437979,-0.252049346344191
TRM1026,Sudeste,Varejo Físico,Pequeno,Profissional/Food Service,40,40,2,203.06,6,578.8,9.4,7.0,3,0,1,1,1,0,1,1,1,0,Sim,0,0,578.8,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,289.4,6,0,0.206680612912892,-0.6897970035358991,-1.100402737131216,-0.6913935515254286,1.1275891810134877,-0.8636695377496422,0.14514346122056693,-0.2908467182356394,-0.2965493705025122,-0.9396890283417427,-0.8682431421244592,-0.556399832372824,1.1275891810134877
TRM1027,Sul,E-commerce,Pequeno,Doméstico,41,12,4,193.89,2,860.58,14.5,9.4,2,3,0,1,0,0,0,0,1,0,Não,0,0,860.58,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,215.145,2,0,0.25666848208252163,-1.3259411871869438,-0.8894110618700684,-0.7182994493924548,-1.6316878737018699,-0.8269263043418842,1.350279526207867,1.498979240137524,-0.7754489750407306,-0.448759730212768,-0.8682431421244592,-0.7787740426944832,-1.6316878737018699
TRM1028,Sul,E-commerce,Médio,Doméstico,69,23,15,501.46,5,9286.6,13.8,7.8,2,4,1,1,1,0,1,0,1,0,Não,0,0,9286.6,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,619.1066666666667,5,0,1.6563288188321523,-1.0760274007526047,0.2710431520662434,0.18414842486722252,0.4377699173346484,0.2718004312619086,1.18486869375863,0.3057619345554148,-0.7754489750407306,-0.28511663083644306,0.4754664825919659,0.4309849853200801,0.4377699173346484
TRM1029,Nordeste,Varejo Físico,Pequeno,Corporativo,59,72,7,258.88,5,2446.69,9.6,6.6,2,0,0,0,0,1,1,1,1,1,Não,0,0,2446.69,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,349.52714285714285,5,0,1.1564501271358556,0.03722492063672329,-0.572923548978347,-0.5276108667994306,0.4377699173346484,-0.6201025058452592,0.19240369906320598,-0.5891510446311669,-0.7754489750407306,-0.9396890283417427,-0.8682431421244592,-0.3763348413048185,0.4377699173346484
TRM1030,Nordeste,Marketplace,Pequeno,Doméstico,30,25,3,205.29,4,874.31,6.8,6.1,7,0,1,0,0,1,0,1,1,0,Não,0,0,874.31,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,291.43666666666667,4,0,-0.29319807878340465,-1.0305885304918159,-0.9949068995006422,-0.6848504596777221,-0.252049346344191,-0.8251359551521316,-0.4692396307337431,-0.9620314526255758,1.6190490476503614,-0.9396890283417427,-0.8682431421244592,-0.5503005509548933,-0.252049346344191
TRM1031,Centro-Oeste,Varejo Físico,Pequeno,Doméstico,41,111,4,181.61,3,834.27,5.5,4.3,5,17,1,1,0,0,0,0,1,0,Sim,0,0,834.27,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,208.5675,3,1,0.25666848208252163,0.9232828907221069,-0.8894110618700684,-0.7543304663834123,-0.9418686100230305,-0.8303570463070985,-0.776431176710898,-2.304400921405448,0.6612498385739246,1.842243661055781,-0.8682431421244592,-0.7984719265863521,-0.9418686100230305
TRM1032,Sudeste,Atacado,Pequeno,Corporativo,30,82,6,241.08,5,1810.39,6.8,5.6,5,0,1,1,1,1,0,0,1,0,Não,0,0,1810.39,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,301.7316666666667,5,1,-0.29319807878340465,0.2644192719406678,-0.6784193866089208,-0.5798382367048903,0.4377699173346484,-0.7030740418568867,-0.4692396307337431,-1.3349118606199848,0.6612498385739246,-0.9396890283417427,-0.8682431421244592,-0.5194697315452712,0.4377699173346484
TRM1033,Sudeste,Varejo Físico,Grande,Profissional/Food Service,14,75,24,1143.39,3,22650.383749999997,15.2,7.2,5,14,0,1,1,0,1,0,0,0,Não,0,0,31153.85,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,943.7659895833332,3,0,-1.0930039854974793,0.10538322602790663,1.2205056907414076,2.067649299216199,-0.9418686100230305,2.014396163879741,1.5156903586571042,-0.1416945550378757,0.6612498385739246,1.3513143629268063,1.819176107308391,1.4032543349552338,-0.9418686100230305
TRM1034,Sudeste,Marketplace,Pequeno,Doméstico,9,63,3,170.3,2,598.33,4.8,8.3,2,2,0,0,1,0,0,0,1,0,Não,0,0,598.33,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,199.44333333333336,2,0,-1.3429433313456276,-0.16724999553682676,-0.9949068995006422,-0.7875153851267129,-1.6316878737018699,-0.8611228866443348,-0.9418420091601354,0.6786423425498245,-0.7754489750407306,-0.6124028295890929,-0.8682431421244592,-0.8257964078649624,-1.6316878737018699
TRM1035,Sul,Atacado,Pequeno,Corporativo,36,30,5,247.43,5,1460.53,11.0,6.9,2,5,0,0,1,1,1,1,0,1,Sim,0,0,1460.53,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,292.106,5,0,0.006729136234373333,-0.9169913548398436,-0.7839152242394946,-0.5612065626094033,0.4377699173346484,-0.7486946949906726,0.5232253639616806,-0.365422799834521,-0.7754489750407306,-0.12147353146011812,-0.8682431421244592,-0.5482960735265455,0.4377699173346484
TRM1036,Sul,Atacado,Pequeno,Corporativo,69,91,8,283.88,6,2886.62,16.5,9.3,1,9,1,0,0,1,1,1,1,1,Não,0,0,2886.62,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,360.8275,6,0,1.6563288188321523,0.46889418811421785,-0.46742771134777317,-0.4542578191794029,1.1275891810134877,-0.5627370055504373,1.8228819046342593,1.4244031585386423,-1.254348579578949,0.5330988660451816,-0.8682431421244592,-0.3424932414664833,1.1275891810134877
TRM1037,Sudeste,Marketplace,Pequeno,Doméstico,29,30,7,187.6,5,1428.09,7.8,6.7,3,0,1,1,1,0,1,0,1,0,Não,0,0,1428.09,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,204.01285714285714,5,0,-0.3431859479530343,-0.9169913548398436,-0.572923548978347,-0.7367550761736538,0.4377699173346484,-0.7529247698424991,-0.232938441520547,-0.5145749630322847,-0.2965493705025122,-0.9396890283417427,-0.8682431421244592,-0.8121118849548704,0.4377699173346484
TRM1038,Sul,Marketplace,Médio,Profissional/Food Service,33,115,18,404.75,5,8178.41,2.6,6.6,2,10,1,0,0,1,1,0,1,1,Não,0,0,8178.41,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,454.3561111111111,5,0,-0.14323447127451566,1.0141606312436846,0.5875306649579648,-0.09961050454609274,0.4377699173346484,0.12729591060698878,-1.4617046254291668,-0.5891510446311669,-0.7754489750407306,0.6967419654215066,0.4754664825919659,-0.06239963109257028,0.4377699173346484
TRM1039,Sudeste,Distribuidor,Pequeno,Doméstico,24,156,7,126.49,4,1001.53,2.6,5.1,6,0,1,1,1,0,0,0,1,0,Sim,0,0,1001.53,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,143.07571428571427,4,1,-0.5931252938011826,1.9456574715898571,-0.572923548978347,-0.9160592657760495,-0.252049346344191,-0.8085468638250858,-1.4617046254291668,-1.7077922686143938,1.140149443112143,-0.9396890283417427,-0.8682431421244592,-0.9946026131498109,-0.252049346344191
TRM1040,Sudeste,Marketplace,Pequeno,Doméstico,10,64,9,193.76,4,2048.52,11.1,8.6,1,9,1,1,1,0,1,0,0,0,Não,0,0,2048.52,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,227.61333333333334,4,0,-1.292955462175998,-0.14453056040643233,-0.36193187371719937,-0.7186808852400789,-0.252049346344191,-0.6720226323480876,0.5468554828830001,0.902370587346469,-1.254348579578949,0.5330988660451816,-0.8682431421244592,-0.7414346611171185,-0.252049346344191
TRM1041,Nordeste,Varejo Físico,Pequeno,Profissional/Food Service,26,143,7,198.58,4,1872.41,7.8,9.3,2,0,1,1,1,0,0,0,1,0,Não,0,0,1872.41,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,267.4871428571429,4,0,-0.4931495554619233,1.6503048148947292,-0.572923548978347,-0.7045384176589375,-0.252049346344191,-0.6949868272357315,-0.232938441520547,1.4244031585386423,-0.7754489750407306,-0.9396890283417427,-0.8682431421244592,-0.6220230806797957,-0.252049346344191
TRM1042,Nordeste,E-commerce,Médio,Doméstico,32,24,17,442.83,5,9735.13,11.5,5.4,6,3,1,1,1,0,0,1,0,1,Sim,0,0,9735.13,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,572.6547058823529,5,1,-0.19322234044414532,-1.0533079656222104,0.482034827327391,0.012120857588733469,0.4377699173346484,0.33028734474186333,0.6413759585682787,-1.4840640238177478,1.140149443112143,-0.448759730212768,0.4754664825919659,0.29187357063683367,0.4377699173346484
TRM1043,Sudeste,E-commerce,Médio,Profissional/Food Service,35,83,10,584.04,3,6063.96,5.9,6.6,5,12,0,1,0,0,0,0,1,1,Sim,0,0,6063.96,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,606.396,3,0,-0.04325873293525633,0.28713870707106226,-0.2564360360866256,0.4264482117656981,-0.9418686100230305,-0.1484217765213873,-0.6819107010256195,-0.5891510446311669,0.6612498385739246,1.0240281641741564,0.4754664825919659,0.39291987909609716,-0.9418686100230305
TRM1044,Nordeste,Marketplace,Médio,Profissional/Food Service,62,57,16,428.92,5,8014.18,11.3,7.5,1,10,1,1,1,0,1,0,1,0,Não,0,1,8014.18,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,500.88625,5,0,1.3064137346447446,-0.30356660631919347,0.3765389896968172,-0.028692778107049875,0.4377699173346484,0.10588083067741226,0.5941157207256397,0.08203368975876955,-1.254348579578949,0.6967419654215066,0.4754664825919659,0.07694590646818401,0.4377699173346484
TRM1045,Nordeste,E-commerce,Médio,Doméstico,42,99,10,313.29,3,3894.75,7.4,5.0,2,0,0,1,1,0,0,0,1,0,Sim,0,0,3894.75,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,389.475,3,1,0.3066563512521513,0.6506496691573734,-0.2564360360866256,-0.3679652939592022,-0.9418686100230305,-0.4312799969076555,-0.3274589172058253,-1.7823683502132752,-0.7754489750407306,-0.9396890283417427,0.4754664825919659,-0.2567015077086253,-0.9418686100230305
TRM1046,Sudeste,E-commerce,Médio,Profissional/Food Service,63,7,13,651.59,5,22650.383749999997,5.1,8.6,5,0,1,1,1,0,1,0,1,0,Não,0,0,106589.02,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1742.3372115384614,5,0,1.3564016038143742,-1.439538362838916,0.06005147680509582,0.6246481464350133,0.4377699173346484,2.014396163879741,-0.8709516523961766,0.902370587346469,0.6612498385739246,-0.9396890283417427,0.4754664825919659,3.7947652751999885,0.4377699173346484
TRM1047,Sudeste,Distribuidor,Pequeno,Doméstico,45,95,6,191.39,4,1358.09,6.4,8.6,7,0,1,0,1,0,0,1,1,0,Não,0,0,1358.09,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,226.34833333333333,4,0,0.45661995876104033,0.5597719286357956,-0.6784193866089208,-0.7256347541544576,-0.252049346344191,-0.7620525515819521,-0.5637601064190214,0.902370587346469,1.6190490476503614,-0.9396890283417427,-0.8682431421244592,-0.7452230036672082,-0.252049346344191
TRM1048,Nordeste,Varejo Físico,Pequeno,Corporativo,43,33,5,256.42,6,1607.72,3.2,7.8,6,6,1,1,1,0,1,1,0,1,Não,0,0,1607.72,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,321.544,6,0,0.35664422042178096,-0.8488330494486603,-0.7839152242394946,-0.5348288066852414,1.1275891810134877,-0.7295015779302428,-1.3199239119012491,0.3057619345554148,1.140149443112143,0.0421695679162068,-0.8682431421244592,-0.46013700001703084,1.1275891810134877
